meter_id,zone_id,meter_type,flag_count,avg_score,max_score,dominant_type,first_flagged,last_flagged,avg_consumption
MTR_0000,zone_0,residential,937,0.6329,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2882
MTR_0001,zone_1,commercial,1438,0.6932,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.7796
MTR_0003,zone_3,residential,1440,0.9679,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.0511
MTR_0005,zone_0,residential,943,0.645,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.29
MTR_0007,zone_2,residential,1440,0.9469,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.04
MTR_0006,zone_1,commercial,1440,1.0,1.0,PEER_DEVIATION,2024-03-16 00:15:00,2024-03-31 00:00:00,2.6395
MTR_0009,zone_4,residential,430,0.6279,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-30 23:45:00,0.261
MTR_0013,zone_3,residential,506,0.617,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2832
MTR_0011,zone_1,residential,452,0.6177,1.0,UNKNOWN,2024-03-16 06:00:00,2024-03-30 23:45:00,0.288
MTR_0010,zone_0,residential,1433,0.9785,1.0,TAMPER,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2589
MTR_0016,zone_1,residential,925,0.6515,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2961
MTR_0017,zone_2,industrial,1440,0.8084,1.0,PEER_DEVIATION,2024-03-16 00:15:00,2024-03-31 00:00:00,4.0473
MTR_0024,zone_4,residential,402,0.6271,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-30 23:45:00,0.2723
MTR_0025,zone_0,industrial,1440,0.8345,1.0,PEER_DEVIATION,2024-03-16 00:15:00,2024-03-31 00:00:00,3.9931
MTR_0022,zone_2,residential,617,0.6279,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.3079
MTR_0021,zone_1,residential,1440,0.9975,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,1.0516
MTR_0019,zone_4,residential,529,0.625,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2799
MTR_0018,zone_3,residential,1440,0.9831,1.0,PEER_DEVIATION,2024-03-16 00:15:00,2024-03-31 00:00:00,0.7565
MTR_0049,zone_4,residential,1435,0.9818,1.0,TAMPER,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2701
MTR_0044,zone_4,commercial,1440,0.7237,1.0,PEER_DEVIATION,2024-03-16 00:15:00,2024-03-31 00:00:00,0.7379
MTR_0045,zone_0,residential,626,0.6327,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.3048
MTR_0046,zone_1,commercial,1438,0.679,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.7619
MTR_0047,zone_2,commercial,1434,0.688,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.7509
MTR_0039,zone_4,residential,395,0.6335,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-30 23:45:00,0.2432
MTR_0027,zone_2,residential,874,0.6283,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2891
MTR_0026,zone_1,industrial,1440,0.8272,1.0,PEER_DEVIATION,2024-03-16 00:15:00,2024-03-31 00:00:00,4.1665
MTR_0033,zone_3,residential,744,0.6343,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2929
MTR_0031,zone_1,commercial,1440,0.6984,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.7063
MTR_0032,zone_2,residential,499,0.621,1.0,UNKNOWN,2024-03-16 06:15:00,2024-03-31 00:00:00,0.2942
MTR_0038,zone_3,commercial,1440,0.8049,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.6202
MTR_0037,zone_2,commercial,1438,0.7402,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.8162
MTR_0036,zone_1,residential,778,0.646,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.3057
MTR_0035,zone_0,commercial,1440,0.9971,1.0,TAMPER,2024-03-16 00:15:00,2024-03-31 00:00:00,0.9015
MTR_0034,zone_4,residential,1062,0.6473,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2811
MTR_0040,zone_0,commercial,1431,0.6995,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.7879
MTR_0043,zone_3,commercial,1440,0.7317,1.0,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.7858
MTR_0041,zone_1,residential,463,0.6071,0.9983,UNKNOWN,2024-03-16 03:45:00,2024-03-30 23:15:00,0.2328
MTR_0008,zone_3,residential,508,0.6322,0.9973,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2932
MTR_0042,zone_2,residential,430,0.631,0.9971,UNKNOWN,2024-03-16 00:15:00,2024-03-31 00:00:00,0.2798
MTR_0014,zone_4,residential,401,0.6322,0.9946,UNKNOWN,2024-03-16 00:15:00,2024-03-30 23:30:00,0.234
