timestamp,meter_id,zone_id,meter_type,consumption_kwh,is_anomaly,anomaly_type,if_score,ae_score,ensemble_score,ensemble_flag,predicted_type,final_flag,fp_reason,confidence_label
2024-03-16 00:00:00,MTR_0000,zone_0,residential,0.1025,0,none,0.9372,0.1421,0.5794,1,UNKNOWN,0,Only 1/2 consecutive flags,MEDIUM
2024-03-16 00:15:00,MTR_0000,zone_0,residential,0.1114,0,none,0.9309,0.1638,0.5857,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 00:30:00,MTR_0000,zone_0,residential,0.1113,0,none,0.9282,0.1384,0.5728,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 00:45:00,MTR_0000,zone_0,residential,0.1189,0,none,0.9333,0.1371,0.575,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 01:00:00,MTR_0000,zone_0,residential,0.105,0,none,0.9336,0.1295,0.5718,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 01:15:00,MTR_0000,zone_0,residential,0.1242,0,none,0.9304,0.129,0.5698,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 01:30:00,MTR_0000,zone_0,residential,0.1296,0,none,0.9542,0.147,0.591,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 01:45:00,MTR_0000,zone_0,residential,0.1116,0,none,0.9304,0.1087,0.5606,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 02:00:00,MTR_0000,zone_0,residential,0.1232,0,none,0.9308,0.154,0.5812,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 02:15:00,MTR_0000,zone_0,residential,0.1025,0,none,0.94,0.1039,0.5637,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 02:30:00,MTR_0000,zone_0,residential,0.1216,0,none,0.9302,0.1063,0.5595,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 02:45:00,MTR_0000,zone_0,residential,0.1214,0,none,0.9251,0.1129,0.5596,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 03:00:00,MTR_0000,zone_0,residential,0.1197,0,none,0.9274,0.1063,0.5579,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 03:15:00,MTR_0000,zone_0,residential,0.1119,0,none,0.9278,0.0879,0.5498,1,UNKNOWN,0,Score 0.550 < threshold 0.55,LOW
2024-03-16 03:30:00,MTR_0000,zone_0,residential,0.0855,0,none,0.9505,0.0978,0.5668,1,UNKNOWN,0,Only 1/2 consecutive flags,MEDIUM
2024-03-16 03:45:00,MTR_0000,zone_0,residential,0.1062,0,none,0.9244,0.1081,0.557,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 04:00:00,MTR_0000,zone_0,residential,0.1064,0,none,0.925,0.1241,0.5646,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 04:15:00,MTR_0000,zone_0,residential,0.1032,0,none,0.9232,0.1088,0.5567,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 04:30:00,MTR_0000,zone_0,residential,0.1131,0,none,0.922,0.1065,0.5551,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 04:45:00,MTR_0000,zone_0,residential,0.1082,0,none,0.9286,0.1066,0.5587,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 05:00:00,MTR_0000,zone_0,residential,0.1743,0,none,0.9372,0.0943,0.5579,1,UNKNOWN,1,Passed all filter rules,MEDIUM
2024-03-16 05:15:00,MTR_0000,zone_0,residential,0.1708,0,none,0.9214,0.0901,0.5473,1,UNKNOWN,0,Score 0.547 < threshold 0.55,LOW
