timestamp,zone_id,actual_demand,predicted_demand,prediction_error,is_test_period,zone_peak,load_factor,risk_level,risk_score
2024-01-01 00:00:00,zone_0,4.3012,4.2985,0.0027,0,9.5925,0.4481105029971332,LOW,44.8
2024-01-01 00:15:00,zone_0,3.9431,3.9444,-0.0013,0,9.5925,0.41119624706802194,LOW,41.1
2024-01-01 00:30:00,zone_0,4.2979,4.2984,-0.0005,0,9.5925,0.4481000781860829,LOW,44.8
2024-01-01 00:45:00,zone_0,3.9371,3.9372,-0.0001,0,9.5925,0.41044566067240035,LOW,41.0
2024-01-01 01:00:00,zone_0,4.1951,4.1944,0.0007,0,9.5925,0.4372582746937712,LOW,43.7
2024-01-01 01:15:00,zone_0,4.3079,4.3066,0.0013,0,9.5925,0.44895491269220755,LOW,44.9
2024-01-01 01:30:00,zone_0,4.3482,4.3494,-0.0012,0,9.5925,0.45341673182173575,LOW,45.3
2024-01-01 01:45:00,zone_0,4.4021,4.4022,-0.0001,0,9.5925,0.458921032056294,LOW,45.9
2024-01-01 02:00:00,zone_0,4.242,4.2437,-0.0017,0,9.5925,0.4423977065415689,LOW,44.2
2024-01-01 02:15:00,zone_0,3.822200000000001,3.8228,-0.0006,0,9.5925,0.3985196768308575,LOW,39.9
2024-01-01 02:30:00,zone_0,4.0488,4.0493,-0.0005,0,9.5925,0.4221318738597863,LOW,42.2
2024-01-01 02:45:00,zone_0,4.0975,4.0982,-0.0007,0,9.5925,0.4272296064633829,LOW,42.7
2024-01-01 03:00:00,zone_0,4.4248,4.427,-0.0022,0,9.5925,0.4615063851967683,LOW,46.2
2024-01-01 03:15:00,zone_0,4.2612,4.2583,0.0029,0,9.5925,0.4439197289549127,LOW,44.4
2024-01-01 03:30:00,zone_0,4.017,4.0167,0.0003,0,9.5925,0.41873338545738864,LOW,41.9
2024-01-01 03:45:00,zone_0,4.225,4.2253,-0.0003,0,9.5925,0.4404795413083138,LOW,44.0
2024-01-01 04:00:00,zone_0,4.4169,4.4163,0.0006,0,9.5925,0.4603909304143862,LOW,46.0
2024-01-01 04:15:00,zone_0,4.3861,4.3871,-0.001,0,9.5925,0.45734688558769876,LOW,45.7
2024-01-01 04:30:00,zone_0,3.9733,3.9726,0.0007,0,9.5925,0.41413604378420643,LOW,41.4
2024-01-01 04:45:00,zone_0,3.9417,3.9445,-0.0028,0,9.5925,0.4112066718790722,LOW,41.1
2024-01-01 05:00:00,zone_0,4.333500000000001,4.332,0.0015,0,9.5925,0.4516028146989836,LOW,45.2
2024-01-01 05:15:00,zone_0,4.76,4.7588,0.0012,0,9.5925,0.4960959082616628,LOW,49.6
2024-01-01 05:30:00,zone_0,4.1134,4.1135,-0.0001,0,9.5925,0.4288246025540787,LOW,42.9
2024-01-01 05:45:00,zone_0,4.625100000000001,4.6243,0.0008,0,9.5925,0.4820745373990097,LOW,48.2
2024-01-01 06:00:00,zone_0,5.6208,5.621,-0.0002,0,9.5925,0.585978629137347,LOW,58.6
2024-01-01 06:15:00,zone_0,5.8015,5.8009,0.0006,0,9.5925,0.6047328642168361,MEDIUM,60.5
2024-01-01 06:30:00,zone_0,5.7493,5.7512,-0.0019,0,9.5925,0.5995517331248371,LOW,60.0
2024-01-01 06:45:00,zone_0,5.6313,5.6315,-0.0002,0,9.5925,0.5870732342976284,LOW,58.7
2024-01-01 07:00:00,zone_0,6.9288,6.9278,0.001,0,9.5925,0.7222100599426636,MEDIUM,72.2
2024-01-01 07:15:00,zone_0,7.1444,7.1429,0.0015,0,9.5925,0.7446338285118582,MEDIUM,74.5
2024-01-01 07:30:00,zone_0,7.503299999999999,7.5055,-0.0022,0,9.5925,0.782434193380245,HIGH,78.2
2024-01-01 07:45:00,zone_0,6.5292,6.5291,0.0001,0,9.5925,0.6806463382851186,MEDIUM,68.1
2024-01-01 08:00:00,zone_0,7.8453,7.8516,-0.0063,0,9.5925,0.8185144644253324,HIGH,81.9
2024-01-01 08:15:00,zone_0,7.3547,7.354,0.0007,0,9.5925,0.7666406046390409,HIGH,76.7
2024-01-01 08:30:00,zone_0,7.9803,7.9798,0.0005,0,9.5925,0.8318790721918166,HIGH,83.2
2024-01-01 08:45:00,zone_0,9.3334,9.3269,0.0065,0,9.5925,0.972311701850404,CRITICAL,97.2
2024-01-01 09:00:00,zone_0,17.588700000000003,17.5803,0.0084,0,9.5925,1.8327130570758408,CRITICAL,100.0
2024-01-01 09:15:00,zone_0,8.732700000000001,8.7341,-0.0014,0,9.5925,0.9105134219442272,CRITICAL,91.1
2024-01-01 09:30:00,zone_0,7.9002,7.8983,0.0019,0,9.5925,0.8233828511858223,HIGH,82.3
2024-01-01 09:45:00,zone_0,8.8519,8.8505,0.0014,0,9.5925,0.9226479020067763,CRITICAL,92.3
2024-01-01 10:00:00,zone_0,9.5094,9.5087,0.0007,0,9.5925,0.9912640083398488,CRITICAL,99.1
2024-01-01 10:15:00,zone_0,7.6634,7.669,-0.0056,0,9.5925,0.799478759447485,HIGH,79.9
2024-01-01 10:30:00,zone_0,7.9197,7.9184,0.0013,0,9.5925,0.8254782382069326,HIGH,82.5
2024-01-01 10:45:00,zone_0,8.2527,8.2527,0.0,0,9.5925,0.8603283815480846,HIGH,86.0
2024-01-01 11:00:00,zone_0,7.9953,7.9961,-0.0008,0,9.5925,0.8335783163930155,HIGH,83.4
2024-01-01 11:15:00,zone_0,8.4574,8.4599,-0.0025,0,9.5925,0.8819285900443055,HIGH,88.2
2024-01-01 11:30:00,zone_0,8.3665,8.3653,0.0012,0,9.5925,0.872066718790722,HIGH,87.2
2024-01-01 11:45:00,zone_0,15.5845,15.598,-0.0135,0,9.5925,1.6260620276257494,CRITICAL,100.0
2024-01-01 12:00:00,zone_0,7.8295,7.8298,-0.0003,0,9.5925,0.816241855616367,HIGH,81.6
2024-01-01 12:15:00,zone_0,7.4518,7.4516,0.0002,0,9.5925,0.7768152202241335,HIGH,77.7
2024-01-01 12:30:00,zone_0,7.339,7.3421,-0.0031,0,9.5925,0.7654000521240554,HIGH,76.5
2024-01-01 12:45:00,zone_0,7.934,7.9335,0.0005,0,9.5925,0.8270523846755279,HIGH,82.7
2024-01-01 13:00:00,zone_0,8.5963,8.597,-0.0007,0,9.5925,0.8962210059942664,HIGH,89.6
2024-01-01 13:15:00,zone_0,8.3322,8.333,-0.0008,0,9.5925,0.8686995048214752,HIGH,86.9
2024-01-01 13:30:00,zone_0,8.3234,8.3224,0.001,0,9.5925,0.8675944748501434,HIGH,86.8
2024-01-01 13:45:00,zone_0,8.1168,8.1168,0.0,0,9.5925,0.8461610633307272,HIGH,84.6
2024-01-01 14:00:00,zone_0,8.4742,8.482,-0.0078,0,9.5925,0.8842324732864216,HIGH,88.4
2024-01-01 14:15:00,zone_0,7.0339,7.0326,0.0013,0,9.5925,0.7331352619233777,MEDIUM,73.3
2024-01-01 14:30:00,zone_0,7.564100000000001,7.5644,-0.0003,0,9.5925,0.7885744070888716,HIGH,78.9
2024-01-01 14:45:00,zone_0,7.8378,7.8365,0.0013,0,9.5925,0.816940317956737,HIGH,81.7
2024-01-01 15:00:00,zone_0,8.568200000000001,8.5693,-0.0011,0,9.5925,0.8933333333333334,HIGH,89.3
