meter_id,zone_id,meter_type,base_consumption,anomaly_type
MTR_0000,zone_0,residential,0.2951,none
MTR_0001,zone_1,commercial,1.2474,sudden_drop
MTR_0002,zone_2,residential,0.2156,none
MTR_0003,zone_3,residential,0.2866,theft
MTR_0004,zone_4,residential,0.2708,none
MTR_0005,zone_0,residential,0.297,none
MTR_0006,zone_1,commercial,1.0619,peer_deviation
MTR_0007,zone_2,residential,0.2183,theft
MTR_0008,zone_3,residential,0.2525,none
MTR_0009,zone_4,residential,0.2291,none
MTR_0010,zone_0,residential,0.2139,tamper
MTR_0011,zone_1,residential,0.2366,none
MTR_0012,zone_2,residential,0.2785,none
MTR_0013,zone_3,residential,0.2514,none
MTR_0014,zone_4,residential,0.2046,none
MTR_0015,zone_0,residential,0.2171,none
MTR_0016,zone_1,residential,0.2949,none
MTR_0017,zone_2,industrial,3.9318,none
MTR_0018,zone_3,residential,0.2098,peer_deviation
MTR_0019,zone_4,residential,0.244,none
MTR_0020,zone_0,residential,0.2495,sudden_drop
MTR_0021,zone_1,residential,0.2909,peer_deviation
MTR_0022,zone_2,residential,0.2663,sudden_drop
MTR_0023,zone_3,residential,0.252,none
MTR_0024,zone_4,residential,0.2185,none
MTR_0025,zone_0,industrial,3.8852,none
MTR_0026,zone_1,industrial,4.0528,none
MTR_0027,zone_2,residential,0.2922,none
MTR_0028,zone_3,residential,0.2196,none
MTR_0029,zone_4,residential,0.2325,none
MTR_0030,zone_0,residential,0.2271,none
MTR_0031,zone_1,commercial,1.1312,none
MTR_0032,zone_2,residential,0.2543,none
MTR_0033,zone_3,residential,0.2802,none
MTR_0034,zone_4,residential,0.2987,none
MTR_0035,zone_0,commercial,1.0554,tamper
MTR_0036,zone_1,residential,0.2815,none
MTR_0037,zone_2,commercial,1.3099,none
MTR_0038,zone_3,commercial,0.9955,none
MTR_0039,zone_4,residential,0.2116,none
MTR_0040,zone_0,commercial,1.2592,none
MTR_0041,zone_1,residential,0.2064,none
MTR_0042,zone_2,residential,0.2325,none
MTR_0043,zone_3,commercial,1.266,sudden_drop
MTR_0044,zone_4,commercial,1.1867,none
MTR_0045,zone_0,residential,0.2713,none
MTR_0046,zone_1,commercial,1.2294,none
MTR_0047,zone_2,commercial,1.197,none
MTR_0048,zone_3,residential,0.2428,none
MTR_0049,zone_4,residential,0.2108,tamper
